x,y
62.0,62.0
62.0,64.0
62.0,66.0
62.0,68.0
62.0,70.0
62.0,72.0
62.0,74.0
62.0,76.0
62.0,78.0
64.0,62.0
64.0,64.0
64.0,66.0
64.0,68.0
64.0,70.0
64.0,72.0
64.0,74.0
64.0,76.0
64.0,78.0
66.0,62.0
66.0,64.0
66.0,66.0
66.0,68.0
66.0,70.0
66.0,72.0
66.0,74.0
66.0,76.0
66.0,78.0
68.0,62.0
68.0,64.0
68.0,66.0
68.0,68.0
68.0,70.0
68.0,72.0
68.0,74.0
68.0,76.0
68.0,78.0
70.0,62.0
70.0,64.0
70.0,66.0
70.0,68.0
70.0,70.0
70.0,72.0
70.0,74.0
70.0,76.0
70.0,78.0
72.0,62.0
72.0,64.0
72.0,66.0
72.0,68.0
72.0,70.0
72.0,72.0
72.0,74.0
72.0,76.0
72.0,78.0
74.0,62.0
74.0,64.0
74.0,66.0
74.0,68.0
74.0,70.0
74.0,72.0
74.0,74.0
74.0,76.0
74.0,78.0
76.0,62.0
76.0,64.0
76.0,66.0
76.0,68.0
76.0,70.0
76.0,72.0
76.0,74.0
76.0,76.0
76.0,78.0
78.0,62.0
78.0,64.0
78.0,66.0
78.0,68.0
78.0,70.0
78.0,72.0
78.0,74.0
78.0,76.0
78.0,78.0
22.0,22.0
22.0,26.800000000000004
22.0,31.6
22.0,36.4
22.0,41.2
22.0,46.0
22.0,50.8
22.0,55.6
22.0,60.4
22.0,65.2
22.0,70.0
22.0,74.8
22.0,79.6
22.0,84.4
22.0,89.2
22.0,94.0
22.0,98.8
22.0,103.6
22.0,108.4
22.0,113.19999999999999
22.0,118.0
26.800000000000004,22.0
26.800000000000004,118.0
31.6,22.0
31.6,118.0
36.4,22.0
41.2,22.0
41.2,118.0
46.0,22.0
46.0,118.0
50.8,22.0
50.8,118.0
55.6,22.0
55.6,118.0
60.4,22.0
60.4,118.0
65.2,22.0
65.2,118.0
70.0,22.0
70.0,118.0
74.8,22.0
74.8,118.0
79.6,22.0
79.6,118.0
84.4,22.0
84.4,118.0
89.2,22.0
89.2,118.0
94.0,22.0
94.0,118.0
98.8,22.0
103.6,22.0
103.6,118.0
108.4,22.0
108.4,118.0
113.19999999999999,22.0
113.19999999999999,118.0
118.0,22.0
118.0,26.800000000000004
118.0,31.6
118.0,36.4
118.0,41.2
118.0,46.0
118.0,50.8
118.0,55.6
118.0,60.4
118.0,65.2
118.0,70.0
118.0,74.8
118.0,79.6
118.0,84.4
118.0,89.2
118.0,94.0
118.0,98.8
118.0,103.6
118.0,108.4
118.0,118.0
17.200000000000003,17.200000000000003
17.200000000000003,22.0
17.200000000000003,26.800000000000004
17.200000000000003,31.6
17.200000000000003,36.4
17.200000000000003,41.2
17.200000000000003,46.0
17.200000000000003,50.8
17.200000000000003,55.6
17.200000000000003,60.4
17.200000000000003,65.2
17.200000000000003,70.0
17.200000000000003,74.8
17.200000000000003,79.6
17.200000000000003,84.4
17.200000000000003,89.2
17.200000000000003,94.0
17.200000000000003,98.8
17.200000000000003,103.6
17.200000000000003,108.4
17.200000000000003,113.19999999999999
17.200000000000003,118.0
17.200000000000003,122.8
22.0,17.200000000000003
22.0,122.8
26.800000000000004,17.200000000000003
26.800000000000004,122.8
31.6,17.200000000000003
31.6,122.8
36.4,17.200000000000003
36.4,122.8
41.2,17.200000000000003
41.2,122.8
46.0,17.200000000000003
46.0,122.8
50.8,17.200000000000003
50.8,122.8
55.6,17.200000000000003
55.6,122.8
60.4,17.200000000000003
60.4,122.8
65.2,17.200000000000003
65.2,122.8
70.0,122.8
74.8,17.200000000000003
74.8,122.8
79.6,17.200000000000003
79.6,122.8
84.4,17.200000000000003
84.4,122.8
89.2,17.200000000000003
89.2,122.8
94.0,17.200000000000003
94.0,122.8
98.8,17.200000000000003
98.8,122.8
103.6,17.200000000000003
103.6,122.8
108.4,17.200000000000003
108.4,122.8
113.19999999999999,17.200000000000003
113.19999999999999,122.8
118.0,17.200000000000003
118.0,122.8
122.8,17.200000000000003
122.8,22.0
122.8,26.800000000000004
122.8,31.6
122.8,36.4
122.8,41.2
122.8,46.0
122.8,50.8
122.8,55.6
122.8,60.4
122.8,65.2
122.8,70.0
122.8,74.8
122.8,79.6
122.8,84.4
122.8,89.2
122.8,94.0
122.8,98.8
122.8,103.6
122.8,108.4
122.8,113.19999999999999
122.8,122.8
12.400000000000006,12.400000000000006
12.400000000000006,17.200000000000003
12.400000000000006,22.0
12.400000000000006,26.800000000000004
12.400000000000006,31.6
12.400000000000006,36.4
12.400000000000006,41.2
12.400000000000006,46.0
12.400000000000006,50.8
12.400000000000006,55.6
12.400000000000006,60.4
12.400000000000006,65.2
12.400000000000006,70.0
12.400000000000006,74.8
12.400000000000006,79.6
12.400000000000006,84.4
12.400000000000006,89.2
12.400000000000006,94.0
12.400000000000006,98.8
12.400000000000006,103.6
12.400000000000006,108.4
12.400000000000006,113.19999999999999
12.400000000000006,118.0
12.400000000000006,122.8
12.400000000000006,127.6
17.200000000000003,12.400000000000006
17.200000000000003,127.6
22.0,12.400000000000006
22.0,127.6
26.800000000000004,12.400000000000006
26.800000000000004,127.6
31.6,12.400000000000006
31.6,127.6
36.4,12.400000000000006
36.4,127.6
41.2,12.400000000000006
41.2,127.6
46.0,12.400000000000006
46.0,127.6
50.8,12.400000000000006
50.8,127.6
55.6,12.400000000000006
55.6,127.6
60.4,12.400000000000006
60.4,127.6
65.2,12.400000000000006
65.2,127.6
70.0,127.6
74.8,12.400000000000006
74.8,127.6
79.6,12.400000000000006
79.6,127.6
84.4,12.400000000000006
84.4,127.6
89.2,12.400000000000006
89.2,127.6
